Obchodný deň;Číslo periódy;Perióda;Objednávky na nákup (MW);Objednávky na predaj (MW);Zobchodovaný nákup (MW);Zobchodovaný predaj (MW);Rozdiel zobchodovaných  množstiev (MW);Priemerná cena obchodov (EUR/MWh);Váženy priemer cien všetkých obchodov (EUR/MWh);Minimálna cena (EUR/MWh);Maximálna cena (EUR/MWh);Posledná cena (EUR/MWh);Zobchodované množstvo (MW);Vážený priemer cien zobchodovaných jednoduchých objednávok (EUR/MWh);Zobchodované množstvo jednoduchých objednávok (MW)
9.8.2026;20;04:45 - 05:00;95,6;40,7;11,0;1,0;10,0;71,18;118,63;0,00;142,35;142,35;12,0;118,63;12,0
9.8.2026;21;05:00 - 05:15;147,1;47,4;13,3;1,3;12,0;111,61;129,25;0,00;144,18;144,18;14,6;129,25;14,6
9.8.2026;22;05:15 - 05:30;158,8;221,5;3,3;9,0;-5,7;141,36;179,04;0,00;297,00;297,00;12,3;179,04;12,3
9.8.2026;23;05:30 - 05:45;152,7;156,6;1,3;2,4;-1,1;79,86;83,55;0,00;139,45;139,45;3,7;83,55;3,7
9.8.2026;24;05:45 - 06:00;118,7;97,4;3,7;3,0;0,7;97,18;96,48;0,00;146,76;146,60;6,7;96,48;6,7
9.8.2026;25;06:00 - 06:15;145,5;67,4;11,5;1,1;10,4;118,44;127,54;0,00;154,00;154,00;12,6;127,54;12,6
9.8.2026;26;06:15 - 06:30;100,3;54,5;4,0;6,2;-2,2;115,08;118,86;0,00;148,68;148,68;10,2;118,86;10,2
9.8.2026;27;06:30 - 06:45;123,7;61,3;11,0;1,0;10,0;82,93;115,18;0,00;138,22;138,22;12,0;115,18;12,0
9.8.2026;28;06:45 - 07:00;102,7;57,3;1,0;1,0;0,0;0,00;0,00;0,00;0,00;0,00;2,0;0,00;2,0
9.8.2026;29;07:00 - 07:15;160,3;44,0;16,2;1,0;15,2;112,86;125,64;0,00;144,48;144,48;17,2;125,64;17,2
9.8.2026;30;07:15 - 07:30;323,2;99,0;27,7;1,0;26,7;105,70;121,32;0,00;132,36;131,67;28,7;121,32;28,7
9.8.2026;31;07:30 - 07:45;6546,7;129,4;32,7;1,0;31,7;110,76;114,01;0,00;125,76;125,76;33,7;114,01;33,7
9.8.2026;32;07:45 - 08:00;211,6;128,4;4,1;1,0;3,1;61,99;62,30;0,00;105,16;105,16;5,1;62,30;5,1
9.8.2026;33;08:00 - 08:15;1205,1;9668,4;51,1;8,8;42,3;125,61;126,73;100,04;132,57;100,04;59,9;126,73;59,9
9.8.2026;34;08:15 - 08:30;362,7;21318,8;10,9;5,0;5,9;109,88;111,04;98,89;124,59;120,00;15,9;111,04;15,9
9.8.2026;35;08:30 - 08:45;238,9;25623,7;42,6;24,4;18,2;98,72;98,61;77,49;111,93;103,80;67,0;98,61;67,0
9.8.2026;36;08:45 - 09:00;576,3;434,0;44,1;27,6;16,5;63,30;62,36;43,52;85,99;65,69;71,7;62,36;71,7
9.8.2026;37;09:00 - 09:15;688,1;632,7;32,8;25,1;7,7;55,08;55,85;32,68;86,50;39,00;57,9;55,85;57,9
9.8.2026;38;09:15 - 09:30;542,1;473,4;140,5;34,1;106,4;35,22;37,24;4,59;52,37;25,47;174,6;37,24;174,6
9.8.2026;39;09:30 - 09:45;2805,9;20380,1;164,2;47,3;116,9;22,78;23,47;-2,19;32,77;15,72;211,5;23,47;211,5
9.8.2026;40;09:45 - 10:00;15336,9;7092,0;168,5;46,8;121,7;12,15;12,83;-3,00;21,57;5,40;215,3;12,83;215,3
9.8.2026;41;10:00 - 10:15;830,1;655,6;96,2;76,2;20,0;4,61;4,66;-2,88;11,82;1,51;172,4;4,66;172,4
9.8.2026;42;10:15 - 10:30;16616,4;772,4;64,6;70,7;-6,1;-0,32;-0,31;-5,90;6,74;-3,68;135,3;-0,31;135,3
9.8.2026;43;10:30 - 10:45;271,3;172,3;15,3;28,2;-12,9;-0,28;-0,01;-4,21;4,88;-0,31;43,5;-0,01;43,5
9.8.2026;44;10:45 - 11:00;392,8;375,4;46,2;64,0;-17,8;-2,95;-3,09;-6,76;1,00;-1,94;110,2;-3,09;110,2
9.8.2026;45;11:00 - 11:15;367,1;286,9;52,9;25,9;27,0;-2,90;-3,28;-8,70;-0,06;-6,67;78,8;-3,28;78,8
9.8.2026;46;11:15 - 11:30;443,5;358,1;24,9;20,8;4,1;-4,03;-3,35;-7,95;-1,30;-6,46;45,7;-3,35;45,7
9.8.2026;47;11:30 - 11:45;445,6;257,5;40,8;32,4;8,4;-5,12;-5,19;-8,85;-0,60;-8,13;73,2;-5,19;73,2
9.8.2026;48;11:45 - 12:00;366,9;293,5;25,9;25,8;0,1;-4,20;-4,96;-10,50;-0,09;-10,50;51,7;-4,96;51,7
9.8.2026;49;12:00 - 12:15;373,2;254,1;20,0;31,1;-11,1;-3,45;-2,52;-15,72;0,00;-3,86;51,1;-2,52;51,1
9.8.2026;50;12:15 - 12:30;23555,5;282,0;21,8;41,0;-19,2;-4,70;-4,08;-13,10;1,00;-13,10;62,8;-4,08;62,8
9.8.2026;51;12:30 - 12:45;693,1;555,0;17,9;31,7;-13,8;-4,29;-5,28;-11,00;1,98;-8,21;49,6;-5,28;49,6
9.8.2026;52;12:45 - 13:00;17315,1;327,2;23,5;32,9;-9,4;-4,52;-4,57;-17,18;-0,01;-7,40;56,4;-4,57;56,4
9.8.2026;53;13:00 - 13:15;438,4;320,0;9,3;29,9;-20,6;-6,21;-6,61;-12,61;0,24;-10,01;39,2;-6,61;39,2
9.8.2026;54;13:15 - 13:30;627,8;343,9;20,3;33,8;-13,5;-6,03;-5,82;-10,92;0,25;-9,41;54,1;-5,82;54,1
9.8.2026;55;13:30 - 13:45;440,2;351,8;27,3;44,2;-16,9;-8,04;-7,99;-19,12;-0,11;-5,61;71,5;-7,99;71,5
9.8.2026;56;13:45 - 14:00;169,6;530,9;38,7;47,3;-8,6;-5,88;-6,12;-11,32;1,91;-5,14;86,0;-6,12;86,0
9.8.2026;57;14:00 - 14:15;304,2;396,8;37,4;26,4;11,0;-2,24;-2,99;-9,09;5,00;-2,30;63,8;-2,99;63,8
9.8.2026;58;14:15 - 14:30;8302,4;334,9;38,4;53,7;-15,3;-4,29;-4,27;-8,01;-0,50;-0,61;92,1;-4,27;92,1
9.8.2026;59;14:30 - 14:45;22838,3;415,4;38,6;77,8;-39,2;-2,90;-3,20;-8,41;0,20;-1,39;116,4;-3,20;116,4
9.8.2026;60;14:45 - 15:00;15138,2;254,5;40,3;63,1;-22,8;-2,81;-3,11;-5,84;0,30;0,15;103,4;-3,11;103,4
9.8.2026;61;15:00 - 15:15;602,2;238,3;32,7;39,1;-6,4;-1,21;-2,29;-5,83;0,72;-0,40;71,8;-2,29;71,8
9.8.2026;62;15:15 - 15:30;382,2;271,2;23,8;74,0;-50,2;-0,37;-0,04;-14,38;4,79;-0,53;97,8;-0,04;97,8
9.8.2026;63;15:30 - 15:45;429,9;242,2;6,1;68,0;-61,9;3,00;2,38;-0,05;10,50;0,23;74,1;2,38;74,1
9.8.2026;64;15:45 - 16:00;835,0;317,3;22,5;64,4;-41,9;0,66;0,27;-1,99;4,80;0,08;86,9;0,27;86,9
9.8.2026;65;16:00 - 16:15;448,0;1773,1;44,6;126,1;-81,5;11,03;10,39;-15,96;28,48;11,00;170,7;10,39;170,7
9.8.2026;66;16:15 - 16:30;299,0;1783,1;42,0;109,9;-67,9;20,66;17,19;-1,71;42,77;39,98;151,9;17,19;151,9
9.8.2026;67;16:30 - 16:45;410,4;1768,0;48,4;121,8;-73,4;40,73;41,16;1,16;77,96;53,14;170,2;41,16;170,2
9.8.2026;68;16:45 - 17:00;1164,1;2181,5;97,7;120,6;-22,9;81,04;82,01;15,76;105,92;94,61;218,3;82,01;218,3
9.8.2026;69;17:00 - 17:15;520,5;554,7;48,4;189,1;-140,7;67,11;72,25;13,18;99,98;99,98;237,5;72,25;237,5
9.8.2026;70;17:15 - 17:30;12043,2;452,8;42,5;85,2;-42,7;107,79;109,64;74,44;127,90;79,36;127,7;109,64;127,7
9.8.2026;71;17:30 - 17:45;9176,3;653,1;116,6;204,7;-88,1;144,22;144,89;101,27;158,09;156,81;321,3;144,89;321,3
9.8.2026;72;17:45 - 18:00;1638,2;920,1;154,1;217,8;-63,7;152,69;152,82;136,02;170,78;152,15;371,9;152,82;371,9
9.8.2026;73;18:00 - 18:15;331,1;14764,3;35,9;166,6;-130,7;129,93;131,14;122,22;145,60;122,22;202,5;131,14;202,5
9.8.2026;74;18:15 - 18:30;320,7;525,6;52,9;156,9;-104,0;150,74;150,45;147,84;158,62;156,35;209,8;150,45;209,8
9.8.2026;75;18:30 - 18:45;402,8;463,2;58,2;105,8;-47,6;155,00;154,29;147,16;161,34;147,16;164,0;154,29;164,0
9.8.2026;76;18:45 - 19:00;1571,4;264,5;66,2;107,1;-40,9;161,50;161,48;152,66;170,16;159,80;173,3;161,48;173,3
9.8.2026;77;19:00 - 19:15;315,1;348,6;29,3;39,8;-10,5;154,88;153,83;145,35;173,46;159,39;69,1;153,83;69,1
9.8.2026;78;19:15 - 19:30;369,9;318,5;23,7;31,7;-8,0;158,44;156,44;140,45;172,18;160,66;55,4;156,44;55,4
9.8.2026;79;19:30 - 19:45;3805,0;382,3;45,4;42,3;3,1;163,31;163,92;148,91;190,18;190,18;87,7;163,92;87,7
9.8.2026;80;19:45 - 20:00;10879,7;408,7;55,5;29,4;26,1;170,34;169,48;149,69;187,35;170,03;84,9;169,48;84,9
9.8.2026;81;20:00 - 20:15;2161,2;427,0;48,3;34,9;13,4;170,73;170,04;157,82;185,31;171,85;83,2;170,04;83,2
9.8.2026;82;20:15 - 20:30;1231,9;152,2;42,4;26,6;15,8;170,10;169,85;158,05;178,99;178,99;69,0;169,85;69,0
9.8.2026;83;20:30 - 20:45;485,4;156,3;35,9;16,4;19,5;173,11;172,46;161,07;180,00;167,69;52,3;172,46;52,3
9.8.2026;84;20:45 - 21:00;454,0;256,1;31,3;28,5;2,8;169,90;169,53;156,62;178,38;161,07;59,8;169,53;59,8
9.8.2026;85;21:00 - 21:15;508,4;134,5;37,1;29,9;7,2;173,43;173,60;160,01;180,52;178,90;67,0;173,60;67,0
9.8.2026;86;21:15 - 21:30;244,8;230,2;31,5;46,6;-15,1;169,98;170,18;159,69;182,77;179,83;78,1;170,18;78,1
9.8.2026;87;21:30 - 21:45;460,3;169,2;47,3;38,8;8,5;167,15;166,80;157,31;177,19;166,50;86,1;166,80;86,1
9.8.2026;88;21:45 - 22:00;298,7;538,8;27,3;34,2;-6,9;160,85;162,00;140,00;172,98;152,79;61,5;162,00;61,5
9.8.2026;89;22:00 - 22:15;1137,2;273,3;62,1;107,6;-45,5;163,43;160,47;145,45;175,48;170,06;169,7;160,47;169,7
9.8.2026;90;22:15 - 22:30;1387,5;194,6;54,8;104,7;-49,9;162,02;162,02;151,23;171,46;161,98;159,5;162,02;159,5
9.8.2026;91;22:30 - 22:45;1917,1;250,4;63,6;117,8;-54,2;158,07;157,68;152,63;166,94;166,58;181,4;157,68;181,4
9.8.2026;92;22:45 - 23:00;929,3;315,5;57,9;133,2;-75,3;153,41;140,74;45,00;167,37;45,00;191,1;140,74;191,1
9.8.2026;93;23:00 - 23:15;2964,3;142,3;61,6;21,7;39,9;133,87;132,27;45,00;164,10;45,00;83,3;132,27;83,3
9.8.2026;94;23:15 - 23:30;2755,5;202,1;32,8;29,2;3,6;125,63;125,43;40,00;163,61;149,07;62,0;125,43;62,0
9.8.2026;95;23:30 - 23:45;3299,1;300,1;25,4;36,3;-10,9;149,94;149,50;134,00;161,97;148,52;61,7;149,50;61,7
9.8.2026;96;23:45 - 00:00;2647,3;328,0;37,5;32,0;5,5;140,54;140,17;125,40;151,81;127,00;69,5;140,17;69,5
10.8.2026;1;00:00 - 00:15;7221,5;129,2;0,8;0,0;0,8;153,55;153,53;153,50;153,60;153,50;0,8;153,53;0,8
10.8.2026;2;00:15 - 00:30;1695,5;128,4;2,0;0,0;2,0;149,61;149,61;149,61;149,61;149,61;2,0;149,61;2,0
10.8.2026;3;00:30 - 00:45;15474,2;139,2;1,3;0,2;1,1;151,53;149,26;146,68;159,23;146,68;1,5;149,26;1,5
10.8.2026;4;00:45 - 01:00;546,5;132,4;0,0;0,6;-0,6;149,01;149,01;149,01;149,01;149,01;0,6;149,01;0,6
10.8.2026;5;01:00 - 01:15;296,2;58,8;26,9;0,0;26,9;136,10;133,46;126,67;147,68;126,67;26,9;133,46;26,9
10.8.2026;6;01:15 - 01:30;98,9;69,2;20,3;2,4;17,9;132,89;125,59;119,53;145,08;119,53;22,7;125,59;22,7
10.8.2026;7;01:30 - 01:45;219,6;64,7;19,0;2,9;16,1;127,65;123,79;117,88;142,50;118,31;21,9;123,79;21,9
10.8.2026;8;01:45 - 02:00;157,2;62,8;15,2;2,0;13,2;124,84;122,97;118,79;137,61;118,79;17,2;122,97;17,2
10.8.2026;9;02:00 - 02:15;95,1;66,4;23,0;3,0;20,0;130,30;131,10;125,14;137,43;134,68;26,0;131,10;26,0
10.8.2026;10;02:15 - 02:30;530,6;60,6;30,3;2,0;28,3;124,69;124,21;122,34;129,90;122,34;32,3;124,21;32,3
10.8.2026;11;02:30 - 02:45;136,3;53,6;29,1;2,0;27,1;125,81;125,13;123,01;131,25;123,01;31,1;125,13;31,1
10.8.2026;12;02:45 - 03:00;1304,2;60,8;32,5;5,7;26,8;120,97;121,02;119,28;124,29;121,56;38,2;121,02;38,2
10.8.2026;13;03:00 - 03:15;466,6;63,1;27,2;3,5;23,7;122,36;122,71;118,50;131,02;123,60;30,7;122,71;30,7
10.8.2026;14;03:15 - 03:30;1228,9;93,1;23,2;4,5;18,7;123,39;123,28;120,60;131,05;123,30;27,7;123,28;27,7
10.8.2026;15;03:30 - 03:45;219,5;96,9;23,6;3,5;20,1;123,28;123,88;119,56;125,30;124,01;27,1;123,88;27,1
10.8.2026;16;03:45 - 04:00;210,8;87,5;27,3;9,6;17,7;124,41;124,24;118,86;133,10;126,01;36,9;124,24;36,9
10.8.2026;17;04:00 - 04:15;302,5;124,7;23,0;6,1;16,9;198,20;155,51;119,64;277,00;277,00;29,1;155,51;29,1
10.8.2026;18;04:15 - 04:30;409,9;111,5;21,1;5,9;15,2;125,91;124,99;120,61;133,00;126,41;27,0;124,99;27,0
10.8.2026;19;04:30 - 04:45;1896,1;96,2;31,8;6,0;25,8;144,20;145,83;122,05;297,00;297,00;37,8;145,83;37,8
10.8.2026;20;04:45 - 05:00;302,5;124,0;31,7;10,8;20,9;139,22;163,67;125,50;296,00;296,00;42,5;163,67;42,5
10.8.2026;21;05:00 - 05:15;524,7;122,0;30,2;12,0;18,2;142,82;181,97;125,03;287,00;287,00;42,2;181,97;42,2
10.8.2026;22;05:15 - 05:30;95,3;75,0;11,0;3,0;8,0;137,12;140,45;132,13;148,00;148,00;14,0;140,45;14,0
10.8.2026;23;05:30 - 05:45;204,4;100,4;34,7;6,0;28,7;154,80;157,54;140,14;161,62;159,50;40,7;157,54;40,7
10.8.2026;24;05:45 - 06:00;1806,6;100,2;55,0;8,2;46,8;156,45;155,64;147,17;163,40;156,10;63,2;155,64;63,2
10.8.2026;25;06:00 - 06:15;118,1;174,0;5,4;12,9;-7,5;161,87;160,92;150,57;166,90;166,12;18,3;160,92;18,3
10.8.2026;26;06:15 - 06:30;188,8;114,0;11,3;8,0;3,3;161,91;161,41;154,61;166,80;166,13;19,3;161,41;19,3
10.8.2026;27;06:30 - 06:45;1441,6;141,4;48,6;10,4;38,2;162,06;161,01;156,00;167,49;162,42;59,0;161,01;59,0
10.8.2026;28;06:45 - 07:00;1908,4;103,9;38,4;13,3;25,1;162,24;162,62;156,10;168,31;163,86;51,7;162,62;51,7
10.8.2026;29;07:00 - 07:15;209,7;130,2;22,7;11,2;11,5;162,67;163,21;159,30;170,75;165,23;33,9;163,21;33,9
10.8.2026;30;07:15 - 07:30;1507,7;96,4;27,5;6,2;21,3;159,32;159,45;157,33;165,40;157,33;33,7;159,45;33,7
10.8.2026;31;07:30 - 07:45;871,4;157,6;32,1;5,8;26,3;155,90;154,06;149,01;163,73;149,97;37,9;154,06;37,9
10.8.2026;32;07:45 - 08:00;6195,2;5958,5;33,2;11,3;21,9;151,94;151,42;144,13;158,47;152,96;44,5;151,42;44,5
10.8.2026;33;08:00 - 08:15;8830,6;13173,3;37,2;16,8;20,4;175,08;176,49;163,93;188,73;184,39;54,0;176,49;54,0
10.8.2026;34;08:15 - 08:30;15665,3;8922,0;42,5;11,1;31,4;166,36;166,00;155,86;172,00;167,72;53,6;166,00;53,6
10.8.2026;35;08:30 - 08:45;13873,6;22746,9;34,4;15,4;19,0;154,41;153,93;149,73;159,86;152,40;49,8;153,93;49,8
10.8.2026;36;08:45 - 09:00;20808,6;9231,4;53,4;26,5;26,9;137,57;137,30;131,44;145,73;137,40;79,9;137,30;79,9
10.8.2026;37;09:00 - 09:15;15636,1;2915,4;42,3;23,9;18,4;148,47;148,88;142,81;155,68;155,68;66,2;148,88;66,2
10.8.2026;38;09:15 - 09:30;14284,5;21382,7;54,4;25,2;29,2;142,76;142,85;137,00;148,13;137,00;79,6;142,85;79,6
10.8.2026;39;09:30 - 09:45;6499,4;6448,7;9,3;5,8;3,5;133,31;133,24;131,05;136,09;132,17;15,1;133,24;15,1
10.8.2026;40;09:45 - 10:00;3734,2;467,9;455,8;50,4;405,4;123,79;123,58;108,80;128,16;110,01;506,2;123,58;506,2
10.8.2026;41;10:00 - 10:15;17362,7;814,2;560,2;67,8;492,4;126,51;126,64;120,44;133,99;127,70;628,0;126,64;628,0
10.8.2026;42;10:15 - 10:30;23592,3;17511,5;548,3;59,1;489,2;117,16;117,53;105,86;121,83;112,24;607,4;117,53;607,4
10.8.2026;43;10:30 - 10:45;10694,8;10520,9;207,5;74,2;133,3;108,45;108,33;93,98;116,22;107,86;281,7;108,33;281,7
10.8.2026;44;10:45 - 11:00;19091,9;15332,9;122,0;88,5;33,5;95,59;95,11;86,10;110,00;110,00;210,5;95,11;210,5
10.8.2026;45;11:00 - 11:15;17285,6;419,8;75,8;78,9;-3,1;97,96;97,03;87,83;112,34;100,11;154,7;97,03;154,7
10.8.2026;46;11:15 - 11:30;1036,0;14210,5;104,8;65,9;38,9;90,76;88,47;74,39;103,98;92,68;170,7;88,47;170,7
10.8.2026;47;11:30 - 11:45;22763,3;790,0;78,4;61,3;17,1;83,41;82,78;61,67;104,14;74,00;139,7;82,78;139,7
10.8.2026;48;11:45 - 12:00;1687,2;1497,2;82,2;82,6;-0,4;82,49;80,84;59,07;103,07;68,29;164,8;80,84;164,8
10.8.2026;49;12:00 - 12:15;4947,3;1112,9;138,5;67,1;71,4;76,05;74,02;53,29;97,14;58,00;205,6;74,02;205,6
10.8.2026;50;12:15 - 12:30;7668,5;19360,3;153,7;76,8;76,9;73,20;70,70;49,11;98,38;63,73;230,5;70,70;230,5
10.8.2026;51;12:30 - 12:45;5851,8;13525,0;218,8;57,8;161,0;75,36;73,91;46,39;97,77;51,65;276,6;73,91;276,6
10.8.2026;52;12:45 - 13:00;18061,5;1416,8;259,9;101,5;158,4;69,82;67,61;41,99;97,76;50,01;361,4;67,61;361,4
10.8.2026;53;13:00 - 13:15;1564,4;18694,1;105,3;76,1;29,2;76,87;74,88;60,77;98,21;70,03;181,4;74,88;181,4
10.8.2026;54;13:15 - 13:30;24654,0;16534,4;105,8;54,3;51,5;79,46;76,55;59,89;126,60;62,24;160,1;76,55;160,1
10.8.2026;55;13:30 - 13:45;25422,8;1180,7;112,7;49,2;63,5;71,78;68,53;47,56;126,27;50,11;161,9;68,53;161,9
10.8.2026;56;13:45 - 14:00;1100,3;1310,1;131,3;99,5;31,8;68,36;65,22;33,46;100,00;42,70;230,8;65,22;230,8
10.8.2026;57;14:00 - 14:15;1029,4;1117,6;140,8;121,6;19,2;70,25;67,58;35,08;126,53;47,09;262,4;67,58;262,4
10.8.2026;58;14:15 - 14:30;1562,7;1466,8;156,9;134,5;22,4;70,04;65,74;33,17;114,20;46,92;291,4;65,74;291,4
10.8.2026;59;14:30 - 14:45;1125,6;1015,3;205,1;86,1;119,0;75,67;74,91;36,85;113,10;50,55;291,2;74,91;291,2
10.8.2026;60;14:45 - 15:00;1737,8;1604,0;288,7;90,9;197,8;87,67;87,27;40,00;131,53;40,00;379,6;87,27;379,6
10.8.2026;61;15:00 - 15:15;2721,9;1341,2;219,4;162,2;57,2;66,84;81,39;39,51;297,00;297,00;381,6;81,39;381,6
10.8.2026;62;15:15 - 15:30;2718,2;1604,6;181,1;116,6;64,5;76,50;73,98;53,55;104,20;103,04;297,7;73,98;297,7
10.8.2026;63;15:30 - 15:45;1842,9;1184,0;170,2;75,0;95,2;118,03;116,06;104,33;140,50;115,04;245,2;116,06;245,2
10.8.2026;64;15:45 - 16:00;768,6;958,9;118,0;56,3;61,7;138,13;135,40;124,01;159,07;130,00;174,3;135,40;174,3
10.8.2026;65;16:00 - 16:15;5168,2;1380,0;118,1;51,4;66,7;80,53;79,99;39,51;116,10;62,13;169,5;79,99;169,5
10.8.2026;66;16:15 - 16:30;2510,6;754,8;79,6;39,3;40,3;116,27;113,34;102,61;131,97;103,02;118,9;113,34;118,9
10.8.2026;67;16:30 - 16:45;791,3;519,4;98,1;34,5;63,6;148,12;147,51;140,43;159,50;157,00;132,6;147,51;132,6
10.8.2026;68;16:45 - 17:00;3741,4;839,6;80,3;53,9;26,4;171,25;172,99;159,24;199,26;199,26;134,2;172,99;134,2
10.8.2026;69;17:00 - 17:15;2008,1;18154,5;48,7;39,9;8,8;155,26;164,78;125,53;304,00;190,00;88,6;164,78;88,6
10.8.2026;70;17:15 - 17:30;11389,8;802,7;20,3;14,4;5,9;164,86;175,28;151,11;220,00;220,00;34,7;175,28;34,7
10.8.2026;71;17:30 - 17:45;1880,0;951,4;27,3;34,3;-7,0;198,94;205,30;183,19;249,00;249,00;61,6;205,30;61,6
10.8.2026;72;17:45 - 18:00;5061,5;5116,0;140,1;91,3;48,8;213,91;218,12;195,00;247,91;234,92;231,4;218,12;231,4
10.8.2026;73;18:00 - 18:15;26294,0;813,0;63,7;24,9;38,8;185,74;194,15;118,10;208,59;202,52;88,6;194,15;88,6
10.8.2026;74;18:15 - 18:30;17706,2;4740,7;132,7;52,3;80,4;202,20;200,37;135,01;235,26;210,00;185,0;200,37;185,0
10.8.2026;75;18:30 - 18:45;7518,5;257,9;70,1;54,0;16,1;240,17;232,26;196,00;289,99;289,99;124,1;232,26;124,1
10.8.2026;76;18:45 - 19:00;2007,1;974,0;71,3;71,8;-0,5;263,39;250,60;170,00;358,78;268,81;143,1;250,60;143,1
10.8.2026;77;19:00 - 19:15;12522,2;228,8;51,5;40,1;11,4;271,70;253,81;190,01;320,00;309,60;91,6;253,81;91,6
10.8.2026;78;19:15 - 19:30;27492,5;277,2;134,8;44,2;90,6;299,83;281,75;195,00;340,74;270,00;179,0;281,75;179,0
10.8.2026;79;19:30 - 19:45;84315,5;267,7;65,1;35,1;30,0;315,43;315,17;265,63;349,49;265,63;100,2;315,17;100,2
10.8.2026;80;19:45 - 20:00;20561,7;545,7;70,8;54,4;16,4;311,39;290,31;194,27;365,27;334,99;125,2;290,31;125,2
10.8.2026;81;20:00 - 20:15;70755,1;120,7;20,2;18,8;1,4;293,28;293,88;240,64;320,00;266,00;39,0;293,88;39,0
10.8.2026;82;20:15 - 20:30;17415,9;188,4;20,7;35,5;-14,8;308,33;316,06;200,00;340,22;295,00;56,2;316,06;56,2
10.8.2026;83;20:30 - 20:45;9443,9;140,0;21,7;24,7;-3,0;291,32;294,04;248,19;320,00;279,99;46,4;294,04;46,4
10.8.2026;84;20:45 - 21:00;6878,6;219,0;25,9;17,8;8,1;256,16;246,09;205,00;311,42;272,96;43,7;246,09;43,7
10.8.2026;85;21:00 - 21:15;13685,7;319,4;11,5;10,9;0,6;280,23;281,48;254,52;286,10;286,10;22,4;281,48;22,4
10.8.2026;86;21:15 - 21:30;2108,3;260,7;17,2;17,6;-0,4;231,14;229,08;214,72;240,00;235,02;34,8;229,08;34,8
10.8.2026;87;21:30 - 21:45;13134,5;248,7;26,3;8,0;18,3;201,99;204,11;185,73;232,28;217,25;34,3;204,11;34,3
10.8.2026;88;21:45 - 22:00;36925,1;207,0;59,2;22,1;37,1;184,48;186,98;159,73;211,08;211,08;81,3;186,98;81,3
10.8.2026;89;22:00 - 22:15;13153,3;415,0;108,7;120,2;-11,5;192,57;195,99;178,38;210,85;200,50;228,9;195,99;228,9
